Key,Year initiated,original_post,title,url,Solution Source,VPN Solution,VPN Protocol,Endpoints,Olivia VPN Problem,Ryan VPN Problem,Sean VPN Problem,Final VPN Problem,VPN #
1576,2015,"Hello, I was wondering if all cisco switches were able to handle ssl? if licenses are required to do so? Thank you Stéphane",SSL in switches,https://supportforums.cisco.com/discussion/12631551/ssl-switches,VIP,,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1585,2015,"Hello Everybody, I'm facing a problem with VPN service in ASA 5505. Initially I was using SSL Clientless VPN which was working absolutely fine, without any problems. Recently I have purchased AnyConnect Essentials License along with AnyConnect Mobile VPN License (for SSL Client-based VPN Service from desktop and mobile respectively) and have activated those keys' inside the firewall. After this I can only be able to login to Client-based VPN, using the AnyConnect client. Clientless VPN access is not permitting to login and shows an error (please check the attached screenshot). I have created two VPN profiles viz., basic (for clientless VPN) and rvsvpn (for client based VPN). Only to download the AnyConnect Client I can login to rvsvpn profile. But if I try to login using profile basic, it throws an error was what is showing in the exhibit. Please help me in this regard, as what can be done to use both the vpn login profile. Or is it that using AnyConnect disables the client-less access? Waiting for yours' help. Thanks in advance. Samrat. ssl_vpn_error",SSL Clientless VPN Disabled in ASA5505 after Activation of AnyConnect,https://supportforums.cisco.com/discussion/12629776/ssl-clientless-vpn-disabled-asa5505-after-activation-anyconnect,VIP,---------------------,SSL,ASA 5505,VPN Feature Not Working,VPN Feature Not Working,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1612,2015,"Hi, Is there a maximum number of DAP supported by ASA 55XX 9.4? Cisco recommanded a maximum of 100 in 9.1. Is this still true in 9.4? Thanks, Patrick",Dynamic Access Policies- limit in ASA 9.4?,https://supportforums.cisco.com/discussion/12626476/dynamic-access-policies-limit-asa-94,community,---------------------,---------------------,ASA 55XX 9.4,VPN Tunnel Not Coming Up,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1616,2015,"Hi, Im trying to order the SSL Premium User License butI have noted that its End of Life. I have noted that its being replaced by the Anyconnect Plus/Apex License. Im getting confused with the new skus. What is the replacement sku ofL-ASA-SSL-50=?",L-ASA-SSL-50= replacement sku,https://supportforums.cisco.com/discussion/12625736/l-asa-ssl-50-replacement-sku,VIP,---------------------,---------------------,---------------------,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1673,2015,"Hi I'm trying to configure an IPSEC VPN on a 2821 router, but it won't accept the command ""crypto ikev2"" I've tried a few different software images- 15.0 and 15.1 T & M trainadvsecurity, and 15.0 advipservices. (Only have 64MB flash so can't load 15.1 advipservices.) Is there something with the 2821 that doesn't support ikev2? I don't recall seeing anything in the release notes saying it is only supported on specific models. Ultimately I'm trying to configure a VPN to Microsoft Azure. The sample config they supply, (which I have working on a few 880 series routers with 15.1 without any problems) has the following config: crypto ikev2 proposal azure-proposal encryption aes-cbc-256 aes-cbc-128 3des integrity sha1 group 2 exit crypto ikev2 policy azure-policy proposal azure-proposal exit From: https://msdn.microsoft.com/en-us/library/azure/dn133800.aspx?f=255&MSPPE... Can I still use this router? What's different between 15.1 on the 880 series to the 2800? thanks Jon",crypto ikev2 command,https://supportforums.cisco.com/discussion/12618241/crypto-ikev2-command,community,,IPSEC,2821 router,VPN Feature Not Working,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1688,2015,"Hi- We have VPN tunnel connected/setup between an ASA 5505- ver=8.4(7) and 5512- ver=9.2(3). We can only ping in one direction- from the 5505 to the 5512, but, not vice-versa(5512 to 5505). Networks: Local: 192.168.1.0 (Responder) Remote: 192.168.54.0 (Initiator) See details below as to our config: sh run cry map crypto map outside_map 2 match address outside_cryptomap_ibfw crypto map outside_map 2 set pfs group5 crypto map outside_map 2 set peer XX.XX.XXX.XXX crypto map outside_map 2 set ikev1 transform-set ESP-AES-256-SHA crypto map outside_map 2 set ikev2 ipsec-proposal AES256 crypto map outside_map interface outside Note: Getting hit counts below on rules/ACL's... sh access-list | i 54.0 access-list outside_access_out line 6 extended permit ip 192.168.1.0 255.255.255.0 192.168.54.0 255.255.255.0 (hitcnt=15931) 0x01aecbcc access-list outside_cryptomap_ibfw line 1 extended permit ip object NETWORK_OBJ_192.168.1.0_24 object NETWORK_OBJ_192.168.54.0_24 (hitcnt=3) 0xa75f0671 access-list outside_cryptomap_ibfw line 1 extended permit ip 192.168.1.0 255.255.255.0 192.168.54.0 255.255.255.0 (hitcnt=3) 0xa75f0671 sh run | i access-group access-group outside_access_out out interface outside NOTE: WE have another VPN tunnel working on the 5512- we are using IKE Peer #2 below(In BOLD)... sh cry ikev1 sa IKEv1 SAs: Active SA: 2 Rekey SA: 0 (A tunnel will report 1 Active and 1 Rekey SA during rekey) Total IKE SA: 2 1 IKE Peer: XX.XX.XXX.XXX Type: L2L Role: responder Rekey: no State: MM_ACTIVE 2 IKE Peer: XXX.XXX.XXX.XXX Type: L2L Role: responder Rekey: no State: MM_ACTIVE sh run tunnel-group XX.XX.XXX.XXX tunnel-group XX.XX.XXX.XXX type ipsec-l2l tunnel-group XX.XX.XXX.XXX general-attributes default-group-policy GroupPolicy_XX.XXX.XXX.XXX tunnel-group XX.XX.XXX.XXX ipsec-attributes ikev1 pre-shared-key ***** ikev2 remote-authentication pre-shared-key ***** sh run | i ikev1 policy crypto ikev1 policy 160 authentication pre-share encryption aes-256 group 5 lifetime 86400 sh run | i dynamic nat (inside,outside) source dynamic obj-0.0.0.0 interface nat (inside,outside) after-auto source dynamic any interface NOTE: From 5512 to 5505- we can ping a host on remote network from local ASA # ping inside 192.168.54.20 Type escape sequence to abort. Sending 5, 100-byte ICMP Echos to 192.168.54.20, timeout is 2 seconds:!!!!! Success rate is 100 percent (5/5), round-trip min/avg/max = 30/32/40 ms Traceroutes from 192.168.1.79- local host to 192.168.54.20- remote host- bypass tunnel? Checking IPSEC tunnel- looks okay? sh crypto ipsec sa interface: outside Crypto map tag: outside_map, seq num: 2, local addr: XX.XXX.XXX.XXX access-list outside_cryptomap_ibfw extended permit ip 192.168.1.0 255.255.255.0 192.168.54.0 255.255.255.0 local ident (addr/mask/prot/port): (192.168.1.0/255.255.255.0/0/0) remote ident (addr/mask/prot/port): (192.168.54.0/255.255.255.0/0/0) current_peer: XX.XX.XXX.XXX #pkts encaps: 4609, #pkts encrypt: 4609, #pkts digest: 4609 #pkts decaps: 3851, #pkts decrypt: 3851, #pkts verify: 3851 #pkts compressed: 0, #pkts decompressed: 0 #pkts not compressed: 4609, #pkts comp failed: 0, #pkts decomp failed: 0 #pre-frag successes: 0, #pre-frag failures: 0, #fragments created: 0 #PMTUs sent: 0, #PMTUs rcvd: 0, #decapsulated frgs needing reassembly: 0 #TFC rcvd: 0, #TFC sent: 0 #Valid ICMP Errors rcvd: 0, #Invalid ICMP Errors rcvd: 0 #send errors: 0, #recv errors: 0 local crypto endpt.: XX.XXX.XXX.XXX/0, remote crypto endpt.: XX.XX.XXX.XXX/0 path mtu 1500, ipsec overhead 74(44), media mtu 1500 PMTU time remaining (sec): 0, DF policy: copy-df ICMP error validation: disabled, TFC packets: disabled current outbound spi: CDC99C9F current inbound spi: 06821CBB inbound esp sas: spi: 0x06821CBB (109190331) transform: esp-aes-256 esp-sha-hmac no compression in use settings ={L2L, Tunnel, PFS Group 5, IKEv1,} slot: 0, conn_id: 339968, crypto-map: outside_map sa timing: remaining key lifetime (kB/sec): (3914789/25743) IV size: 16 bytes replay detection support: Y Anti replay bitmap: 0xFFFFFFFF 0xFFFFFFFF outbound esp sas: spi: 0xCDC99C9F (3452542111) transform: esp-aes-256 esp-sha-hmac no compression in use settings ={L2L, Tunnel, PFS Group 5, IKEv1,} slot: 0, conn_id: 339968, crypto-map: outside_map sa timing: remaining key lifetime (kB/sec): (3913553/25743) IV size: 16 bytes replay detection support: Y Anti replay bitmap: 0x00000000 0x00000001--> On local ASA 5512- where we are having issues- tried Packet tracing...appears we are getting requests/replies... sh cap CAP 34 packets captured 1: 16:41:08.120477 192.168.1.79 > 192.168.54.20: icmp: echo request 2: 16:41:08.278138 192.168.54.20 > 192.168.1.79: icmp: echo request 3: 16:41:08.278427 192.168.1.79 > 192.168.54.20: icmp: echo reply 4: 16:41:09.291992 192.168.54.20 > 192.168.1.79: icmp: echo request 5: 16:41:09.292282 192.168.1.79 > 192.168.54.20: icmp: echo reply--> On the Remote ASA 5505- we can ping thru the 5512 to the local host (192.168.1.79) sh cap CAP2 42 packets captured 1: 16:56:16.136559 802.1Q vlan#1 P0 192.168.54.20 > 192.168.1.79: icmp: echo request 2: 16:56:16.168860 802.1Q vlan#1 P0 192.168.1.79 > 192.168.54.20: icmp: echo reply 3: 16:56:17.140434 802.1Q vlan#1 P0 192.168.54.20 > 192.168.1.79: icmp: echo request 4: 16:56:17.171652 802.1Q vlan#1 P0 192.168.1.79 > 192.168.54.20: icmp: echo reply 5: 16:56:18.154426 802.1Q vlan#1 P0 192.168.54.20 > 192.168.1.79: icmp: echo request 6: 16:56:18.186178 802.1Q vlan#1 P0 192.168.1.79 > 192.168.54.20: icmp: echo reply 7: 16:56:19.168417 802.1Q vlan#1 P0 192.168.54.20 > 192.168.1.79: icmp: echo request--> Packet trace on 5512 shows no issues...but we cannot ping from host to host? packet-tracer input inside icmp 192.168.1.79 8 0 192.168.54.20 detailed Phase: 4 Type: CONN-SETTINGS Subtype: Result: ALLOW Config: class-map class-default match any policy-map global_policy class class-default set connection decrement-ttl service-policy global_policy global Additional Information: Forward Flow based lookup yields rule: in id=0x7fffa2d0ba90, priority=7, domain=conn-set, deny=false hits=4417526, user_data=0x7fffa2d09040, cs_id=0x0, use_real_addr, flags=0x0, protocol=0 src ip/id=0.0.0.0, mask=0.0.0.0, port=0, tag=0 dst ip/id=0.0.0.0, mask=0.0.0.0, port=0, tag=0, dscp=0x0 input_ifc=inside, output_ifc=any Phase: 5 Type: NAT Subtype: Result: ALLOW Config: nat (inside,outside) source dynamic obj-0.0.0.0 interface Additional Information: Dynamic translate 192.168.1.79/0 to XX.XXX.XXX.XXX/43904 Forward Flow based lookup yields rule: in id=0x7fffa222d130, priority=6, domain=nat, deny=false hits=4341877, user_data=0x7fffa222b970, cs_id=0x0, flags=0x0, protocol=0 src ip/id=0.0.0.0, mask=0.0.0.0, port=0, tag=0 dst ip/id=0.0.0.0, mask=0.0.0.0, port=0, tag=0, dscp=0x0 input_ifc=inside, output_ifc=outside... Phase: 14 Type: FLOW-CREATION Subtype: Result: ALLOW Config: Additional Information: New flow created with id 7422689, packet dispatched to next module Module information for forward flow... snp_fp_tracer_drop snp_fp_inspect_ip_options snp_fp_inspect_icmp snp_fp_translate snp_fp_adjacency snp_fp_fragment snp_ifc_stat Module information for reverse flow... snp_fp_tracer_drop snp_fp_inspect_ip_options snp_fp_translate snp_fp_inspect_icmp snp_fp_adjacency snp_fp_fragment snp_ifc_stat Result: input-interface: inside input-status: up input-line-status: up output-interface: outside output-status: up output-line-status: up Action: allow --> On remote ASA 5505- Packet trace is good and we can ping remote host fine....not sure why it ""UN-NAT's""? Destination- Initiator: packet-tracer input inside icmp 192.168.54.20 8 0 192.168.1.79 detailed ... Phase: 4 Type: UN-NAT Subtype: static Result: ALLOW Config: nat (inside,outside) source static NETWORK_OBJ_192.168.54.0_24 NETWORK_OBJ_192.168.54.0_24 destination static NETWORK_OBJ_192.168.1.0_24 NETWORK_OBJ_192.168.1.0_24 no-proxy-arp route-lookup Additional Information: NAT divert to egress interface outside Untranslate 192.168.1.79/0 to 192.168.1.79/0... Summary: We ""cannot"" ping from a host(192,168.1.79) on 5512- inside network to the 5505- inside network host(192.168.54.20). But, we can ping from the 5505- inside network host(192.168.54.20) to 5512- inside network host(192.168.1.79). Please let us know what other details we can provide to help solve, thanks for any help in advance.-SP",ASA: IPSEC VPN tunnel from 5505(ver=8.47) to 5512(ver=9.23),https://supportforums.cisco.com/discussion/12616346/asa-ipsec-vpn-tunnel-5505ver847-5512ver923,Cisco,,IPSEC IKEv1,ASA 5505 - ver=8.4(7) and 5512 - ver=9.2(3),VPN Tunnel Flapping,Applications Not Working Across VPN Tunnel,VPN Feature Not Working,Applications Not Working Across VPN Tunnel,2
1742,2015,"Hello, I haveestablishedVPN site-site between 2 ASAsBranch-to-HQ. the issue is every morning time while both sites Turn-On their ASA devices, the Tunnel does not come up unless Irun the following commands on HQ-ASA. no crypto maptobranchinterface outside crypto maptobranchinterface outside Please instruct what is the issue?",Phase-2 Disconnecting,https://supportforums.cisco.com/discussion/12607526/phase-2-disconnecting,Cisco,,,ASA,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,VPN Tunnel Not Coming Up,0
1773,2015,Hi Guys I have an existing anyconnect VPN setup for some users. Now we have another customer who also needs VPN access into the network. How would I go about this in terms of separation from the existing VPN. This customer will have a different address pool. Would this invole configuring a different connection profile and group policy? Im new to VPNs so may be asking a bbasic question. Thanks,Add new customer to existing Anyconnect,https://supportforums.cisco.com/discussion/12602256/add-new-customer-existing-anyconnect,community,---------------------,---------------------,AnyConnect,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1794,2015,"Hi all, I am having trouble setting up anyconnect VPN on my router. I'm pre CCENT level and mostly followed a tutorial, but think I'm missing something simple here. It's a fairly simple setup on a Cisco 2851- one interface faces my 192.168.1.0/24 LAN, the other has a public IP. I've created a 192.168.2.0/24 network for VPN users, mainly to have Android phones connect from their mobile networks, and have access to servers/security cameras/etc using their local IPs. When my phone connects, it gets an IP and is connected, but does not communicate with my LAN properly. The VPN client can ping 192.168.1.254 (router's LAN IP)- but no other devices on the network. However, devices on my LAN can ping the VPN clients at their 192.168.2.x address. Here's a copy of my current config, I've sanitized certain items with #s. Also pasted my sh ip route under it. Remember I am a novice, please forgive the kludge:) Router(config)#do sh run Building configuration... Current configuration: 5782 bytes!! Last configuration change at 02:24:24 UTC Sat Sep 5 2015 by #####! version 15.1 service timestamps debug datetime msec service timestamps log datetime msec no service password-encryption! hostname ##########! boot-start-marker boot-end-marker!! enable secret 5 $1$a##############0! aaa new-model!! aaa authentication login default local aaa authentication login sslvpn local aaa authorization exec default local!!!!! aaa session-id common!! dot11 syslog no ip source-route!! ip cef! ip dhcp excluded-address 192.168.1.200 192.168.1.254 ip dhcp excluded-address 192.168.1.1 192.168.1.10! ip dhcp pool LAN network 192.168.1.0 255.255.255.0 dns-server 192.168.1.254 default-router 192.168.1.254!! ip domain name #####.com ip host Switch 192.168.1.253 ip name-server 8.8.8.8 login block-for 2000 attempts 4 within 60 login quiet-mode access-class SSH_MGMT no ipv6 cef! multilink bundle-name authenticated!!!!!!!!!!! voice-card 0! crypto pki token default removal timeout 0! crypto pki trustpoint MY-TRUSTPOINT enrollment selfsigned serial-number subject-name CN=117-certificate revocation-check crl rsakeypair my-rsa-keys!! crypto pki certificate chain MY-TRUSTPOINT certificate self-signed 01 ########################## ######################### quit!! license udi pid CISCO2851 sn FTX1026A54Y username ##### secret 5 $1$yv#################E9/ username ##### secret 5 $1$X0nL###############kO.! redundancy!! ip ssh version 2!!!!!!!! interface GigabitEthernet0/0 description LAN ip address 192.168.1.254 255.255.255.0 ip nat inside no ip virtual-reassembly in duplex auto speed auto! interface GigabitEthernet0/1 description WAN no ip dhcp client request tftp-server-address no ip dhcp client request domain-name ip address dhcp ip access-group ACL-WAN_INTERFACE in no ip redirects no ip proxy-arp ip nat outside no ip virtual-reassembly in duplex auto speed auto no cdp enable! interface Serial0/0/0 no ip address shutdown! interface Virtual-Template1! ip local pool WEBVPN-POOL 192.168.2.100 192.168.2.110 ip forward-protocol nd no ip http server no ip http secure-server!! ip dns server ip nat inside source list INSIDE_NAT_ADDRESSES interface GigabitEthernet0/1 overload! ip access-list standard INSIDE_NAT_ADDRESSES permit 192.168.1.0 0.0.0.255 permit 192.168.2.0 0.0.0.255 ip access-list standard SSH_MGMT permit 192.168.1.0 0.0.0.255 permit 207.210.0.0 0.0.255.255! ip access-list extended ACL-WAN_INTERFACE deny udp any any eq snmp deny tcp any any eq domain deny tcp any any eq echo deny tcp any any eq daytime deny tcp any any eq chargen deny tcp any any eq telnet deny tcp any any eq finger deny udp any any eq domain deny ip 127.0.0.0 0.255.255.255 any deny ip 192.168.0.0 0.0.255.255 any permit tcp any any eq 443 permit ip any any! logging esm config nls resp-timeout 1 cpd cr-id 1!!!!!!! control-plane!!!! mgcp profile default!!!!! gatekeeper shutdown!!! line con 0 exec-timeout 0 0 logging synchronous line aux 0 exec-timeout 0 0 logging synchronous line vty 0 4 exec-timeout 0 0 logging synchronous transport input ssh line vty 5 15 exec-timeout 0 0 logging synchronous transport input ssh! scheduler allocate 20000 1000! webvpn gateway Cisco-WebVPN-Gateway ip interface GigabitEthernet0/1 port 443 ssl encryption rc4-md5 ssl trustpoint MY-TRUSTPOINT inservice ! webvpn install svc flash:/webvpn/anyconnect-linux-3.1.03103-k9.pkg sequence 1 ! webvpn context Cisco-WebVPN title ""Firewall.cx WebVPN- Powered by Cisco"" ssl authenticate verify all ! url-list ""rewrite"" ! acl ""ssl-acl"" permit ip 192.168.1.0 255.255.255.0 192.168.2.0 255.255.255.0 permit ip 192.168.2.0 255.255.255.0 192.168.1.0 255.255.255.0 permit ip 192.168.0.0 255.255.0.0 192.168.0.0 255.255.0.0 ! login-message ""Cisco Secure WebVPN"" ! policy group webvpnpolicy functions svc-required filter tunnel ssl-acl svc address-pool ""WEBVPN-POOL"" netmask 255.255.255.0 svc rekey method new-tunnel svc split include 192.168.1.0 255.255.255.0 default-group-policy webvpnpolicy aaa authentication list sslvpn gateway Cisco-WebVPN-Gateway max-users 5 inservice! end Gateway of last resort is ###.###.###.### to network 0.0.0.0 S* 0.0.0.0/0 [254/0] via ###.###.###.1 (###ISP))) is subnetted, 1 subnets S (###ISP###) [254/0] via (###publicgateway###)GigabitEthernet0/1 ###.###.0.0/16 is variably subnetted, 2 subnets, 2 masks C ###.###.###.0/23 is directly connected, GigabitEthernet0/1 L ###.###.###.###/32 is directly connected, GigabitEthernet0/1 192.168.1.0/24 is variably subnetted, 2 subnets, 2 masks C 192.168.1.0/24 is directly connected, GigabitEthernet0/0 L 192.168.1.254/32 is directly connected, GigabitEthernet0/0 192.168.2.0/32 is subnetted, 1 subnets S 192.168.2.100 [0/0] via 0.0.0.0, Virtual-Access1 #2851 #vpn #anyconnect #webvpn",Trouble setting up AnyConnect VPN,https://supportforums.cisco.com/discussion/12599341/trouble-setting-anyconnect-vpn,Cisco,---------------------,---------------------,Cisco 2851,VPN Tunnel Flapping,VPN Feature Not Working,VPN Feature Not Working,Applications Not Working Across VPN Tunnel,2
1842,2015,"Hi, I have been looking into the ASA 5505 Hardware-Bundles and I have learnt that there are the following:- The Basic License, offering just 3 VLANs (the 3rd one restricted). Italso offersjust 2 SSL VPN AnyConnect Premium Licenses and 10 IPSec VPN (which comprises old Cisco VPN Client and EasyConnect), accounting both up to 10 VPNs. There are 3 types of Bundles, whose part numbers are: ** ASA5505-BUN-K9 --> which is the basic Bundle, offeringup to just 10 internal concurrent users **ASA5505-50-BUN-K9 -->offeringup to 50 internal concurrent users ** ASA5505-UL-BUN-K9 --> offeringunlimited internal concurrent users- The Security Plus License, offering up to 20 VLANs and unlimited internal concurrent users (regarding the Hardware-Bundle edition). Italso offersjust 2 SSL VPN AnyConnect Premium Licenses and 25 IPSec VPN (which comprises old Cisco VPN Client and EasyConnect), accounting both up to 25 VPNs.There is just one type of Bundle, whose part number is: ** ASA5505-SEC-BUN-K9 --> offering unlimited internal concurrent users. If you have the basic ASA5505-BUN-K9 Basic License and you want to upgrade to Security Plus License, you would activate 2 licenses: + the Security Plus License--> ASA5505-SEC-PL= (or the L-ASA5505-SEC-PL= if you want to receive it via email) + the Unlimited Users License--> ASA5505-SW-10-UL (as if the Security Plus License is not Hardware-Bundle, it does not come with unlimited users) and that's why it is much better to purchase the Security Plus License Hardware-Bundle right from the batthan upgrading later. This is as much as I could get, but I still have a couple of questions that I would like you to help me solve: QUESTION 1.- Is the above information right or is there anything wrong? QUESTION 2.- I have heard there is an AnyConnect Essentials VPN License offering up to 25 AnyConnect Essential Licenses concurrently, and I would like to know what is the difference between those licenses andAnyConnect Premium VPN Licenses? Will I be able to connect with an AnyConnect Essentials License through RDP? QUESTION 3.- I have also heard there is another bundle called ASA5505-SSL10-K9 offering up to 10 SSL VPN AnyConnect Licenses,which has been deprecated just recently. Was Security Plus License with unlimited users included in this Hardware-Bundle? QUESTION 4.- Alternatively, there is another license called ASA-SSL-10, which could be installed along with Security Plus License. Does it work the same way the the above Hardware-Bundle? QUESTION 5.- When reaching the limit of internal concurrent users permited, how long would it take to refresh the counter since a user gets out of the internal network? Kind Regards, PEDRO",Questions about ASA5505 Licensing,https://supportforums.cisco.com/discussion/12592486/questions-about-asa5505-licensing,VIP,,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1862,2015,"Hi Guys, We have configured a site to site vpn using easy vpn configuration between two ASA's running ver 9.5(1). The tunnels are up and ping is reaching between the sites. I have also configured split tunnel for the internet traffic under the global-policy of the easy vpn server ASA. But for unknown reason all the client even the internet traffic is being forwarded to the Main site. i have configured the NAT to exempt on the server side and client side. Please advise if any limitation while setup. Thanks and regards, Arjun T P easy vpn site-to-site",Easy VPN between two ASA 9.5- Split tunnel not working,https://supportforums.cisco.com/discussion/12590506/easy-vpn-between-two-asa-95-split-tunnel-not-working,community,---------------------,site to site,ASA's running ver 9.5(1),VPN Feature Not Working,Customer Education/Configuration Assistance,VPN Feature Not Working,VPN Feature Not Working,4
1930,2015,"When connecting to an ASA with self-signed cert, using Cisco AnyConnect Secure Mobility Client 3.1 (10010), the AnyConnect client presents the Big Red Box of Warning, which is good. The user would need to disable ""Block Connections to Unknown Servers"" in preferences in order to complete the connection. Is there a way for the user to view the SHA1/SHA3 fingerprint of the self-signed cert, before disabling the security block? I could have sworn that older versions of the AnyConnect client allowed the user view the certificate details and fingerprint before choosing to Accept and connect.",view SHA fingerprint of self-signed cert on ASA webvpn client?,https://supportforums.cisco.com/discussion/12582441/view-sha-fingerprint-self-signed-cert-asa-webvpn-client,VIP,webVPN,---------------------,ASA,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
1944,2015,"Hello, I have a quick question about the versions of AnyConnect that should be deployed in order to fix bug CSCut93920. The bug notes state that the fix is available in version 3.1(10010) and 4.1(4011). I was able to find version 3.1(10010), however, there is no version 4.1(4011). The one that's available for download is 4.1(04011). Is that just a typo on the Cisco Download site? The reason I ask is because the bug notes as well as the CVE-2015-4289 state that all version 4.1(0) are vulnerable. Thank you, Martin anyconnect 4.1 CSCut93920 CVE-2015-4289",CVE-2015-4289 AnyConnect version fix,https://supportforums.cisco.com/discussion/12580666/cve-2015-4289-anyconnect-version-fix,Cisco,---------------------,---------------------,AnyConnect,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
2000,2015,"Hi Experts, My client has VPN client version 5.0.07.0440. They need simply 5 SSL VPN connections. I had proposed the "" L-ASA-SSL-10= "" premium license but later found out that its not end of life and I have to upgrade to Anyconnect 4.x. The client already has a valid smartnet. My question is, should we just upgrade the VPN Client to the new Anyconnect 4? or something else is required for migration. He doesn't have any previous purchased licenses. After that correct me if I'm wrong,below is the licenses he would want for his 5 SSL connection. Line Number Item Name Description Service Duration Lead Time Included Item Quantity ListPrice Extended ListPrice Discount % Selling Price 1.0 L-AC-APX-1YR-G Cisco AnyConnect 1-Yr Apex Subscription License Group N/A 2 days No 1 0.00 0.00 0 0.00 1.1 AC-APX-1YR-25-S Cisco AnyConnect 1-Yr 25 User Apex License N/A 2 days No 1 0.00 0.00 0 0.00 1.1.0.1 AC-APX-1YR-25 Cisco AnyConnect 1-Yr 25 User Apex Subscription 12 month(s) N/A No 1 360.00 360.00 0 360.00 1.2 L-AC-APX-S-1Y-25 Cisco AnyConnect 1-Yr 25 User Apex (ASA License Key) N/A 2 days Yes 99999 0.00 0.00 0 0.00 SubTotal 360.00 Configset Total 360.00 Thanks #5510 #asa #VPN #AnyConnect",New AnyConnect 4,https://supportforums.cisco.com/discussion/12573476/new-anyconnect-4,VIP,---------------------,SSL,VPN client version 5.0.07.0440,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
2050,2015,"Hello and thank you for reading. This is a new configuration and I need support. I do have TAC support but it has not proven successful. Internet- > Cisco ASA-> Juniper SRX-> Extreme L3 SW-> PCA What I have done so far is install the latest AnyConnect images- anyconnect-macosx-i386-3.1.09013-k9.pkg and running asa916-6-k8.bin Please help with the configuration, with the IP space shown, I have last octet availablefor public space.184,.185, I have drawn the network in question. See picture. untitled.png anyconnect asa configuration 5510",Anyconnect Configuration Assistance with Juniper SRX,https://supportforums.cisco.com/discussion/12567731/anyconnect-configuration-assistance-juniper-srx,VIP,---------------------,---------------------,asa916-6-k8/Juniper SRX,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
2113,2015,"Hi Team, Can you please let me know how to generate interesting traffic on the asa 9.1 code to verify site to site vpn tunnel. i have already tried configuring management access inside and that didnt help when i ping my destination IP i get no response Regards Basavaraj",How to generate interesting traffic on the ASA,https://supportforums.cisco.com/discussion/12560546/how-generate-interesting-traffic-asa,Cisco,---------------------,---------------------,asa 9.1,VPN Tunnel Not Coming Up,VPN Feature Not Working,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
2119,2015,"Hello, I need some advice in regards AnyConnect demo license. I enrolled today for AnyConnectEssential/Premium demo license however after activation I'm not able to enable AnyConnect Essential and Premium demo seems to be activated. I thought that with demo Essential/Premium license I can switch between them. I need Essential to test AnyConnect client deployments with two factor authentication from Duo Security. Do I need to reload my two ASA5510 after new demo key is added? Regards, Luu Manioro #AnyConnect #ASA #5510",AnyConnect Essential demo license,https://supportforums.cisco.com/discussion/12560161/anyconnect-essential-demo-license,Cisco,---------------------,---------------------,ASA5510,VPN Feature Not Working,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
2140,2015,I need to KNOW for the ASA Firepower firewall For the Site to site VPN sessions or client to site vpn sessionsneed any Licence.,ASA LICENCE,https://supportforums.cisco.com/discussion/12555216/asa-licence,VIP,---------------------,site to site/ site to client (says remote access in answer),ASA Firepower firewall,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
2222,2015,"If we use AnyConnect 3.1 with RSA SecureID, the token code is 6 characters. If the users PIN is 4characters, then the total password for AnyConnectis 10 characters. If their PIN is 8, then the Cisco password becomes 14 characters. Can it be longer? How many total charactersare usable for the Anyconnect client authentication? We are not going to require an extrermely long password, but we do not want to restrict the user from using a long password/passphrase if they wish. I need to know what the limitations are for Cisco AnyConnect before we set the maximum length on the RSA side. vpn securid anyconnect",How long can AnyConnect 3.1 password be?,https://supportforums.cisco.com/discussion/12545746/how-long-can-anyconnect-31-password-be,Cisco,,,,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,Customer Education/Configuration Assistance,3
